Date,Severity_1,Severity_2,Severity_3,Severity_4,Residential_ct,Interstate_ct,Accident_ct,Zipcode
05/19/2019,0,0,1,0,1,0,1,30309
05/20/2019,0,4,1,0,5,0,5,30309
05/21/2019,0,0,2,0,1,1,2,30309
05/22/2019,0,3,1,0,3,1,4,30309
05/23/2019,0,2,1,0,2,1,3,30309
05/24/2019,0,0,0,0,0,0,0,30309
05/25/2019,0,0,1,0,0,1,1,30309
05/26/2019,0,0,0,1,0,1,1,30309
05/27/2019,0,1,0,0,1,0,1,30309
05/28/2019,0,1,1,0,1,1,2,30309
05/29/2019,0,2,1,0,1,2,3,30309
05/30/2019,0,2,0,0,0,2,2,30309
05/31/2019,0,2,1,0,1,2,3,30309
06/01/2019,0,0,3,0,0,3,3,30309
06/02/2019,0,0,3,0,0,3,3,30309
06/03/2019,0,0,2,0,0,2,2,30309
06/04/2019,0,0,2,0,0,2,2,30309
06/05/2019,0,1,0,0,1,0,1,30309
06/06/2019,0,0,2,0,0,2,2,30309
06/07/2019,0,0,1,0,0,1,1,30309
06/08/2019,0,1,3,0,1,3,4,30309
06/09/2019,0,0,2,0,0,2,2,30309
06/10/2019,0,3,1,0,0,4,4,30309
06/11/2019,0,0,2,1,0,3,3,30309
06/12/2019,0,3,0,0,2,1,3,30309
06/13/2019,0,1,0,0,1,0,1,30309
06/14/2019,0,0,0,0,0,0,0,30309
06/15/2019,0,0,1,0,0,1,1,30309
06/16/2019,0,0,1,0,0,1,1,30309
06/17/2019,0,0,1,1,0,2,2,30309
06/18/2019,0,5,2,0,3,4,7,30309
06/19/2019,0,1,2,0,1,2,3,30309
06/20/2019,0,2,0,0,2,0,2,30309
06/21/2019,0,3,0,0,3,0,3,30309
06/22/2019,0,0,0,0,0,0,0,30309
06/23/2019,0,0,0,0,0,0,0,30309
06/24/2019,0,2,0,0,1,1,2,30309
06/25/2019,0,0,0,0,0,0,0,30309
06/26/2019,0,4,0,0,4,0,4,30309
06/27/2019,0,0,0,0,0,0,0,30309
06/28/2019,0,0,4,0,1,3,4,30309
06/29/2019,0,1,0,0,0,1,1,30309
06/30/2019,0,0,0,0,0,0,0,30309
07/01/2019,0,0,0,0,0,0,0,30309
07/02/2019,0,0,1,0,0,1,1,30309
07/03/2019,0,1,0,0,0,1,1,30309
07/04/2019,0,1,0,0,0,1,1,30309
07/05/2019,0,1,3,0,3,1,4,30309
07/06/2019,0,0,0,0,0,0,0,30309
07/07/2019,0,0,0,1,0,1,1,30309
07/08/2019,0,1,2,0,0,3,3,30309
07/09/2019,0,0,0,0,0,0,0,30309
07/10/2019,0,1,0,0,0,1,1,30309
07/11/2019,0,1,1,0,0,2,2,30309
07/12/2019,0,0,0,0,0,0,0,30309
07/13/2019,0,0,0,0,0,0,0,30309
07/14/2019,0,0,0,0,0,0,0,30309
07/15/2019,0,0,1,0,0,1,1,30309
07/16/2019,0,0,1,0,0,1,1,30309
07/17/2019,0,0,1,0,0,1,1,30309
07/18/2019,0,0,2,0,0,2,2,30309
07/19/2019,0,0,0,0,0,0,0,30309
